词语,频数
收益,34
相关,32
扶持,15
政策,16
获得,30
补助,41
从事,2
国家,7
鼓励,2
特定,2
行业,5
企业,64
奖励,2
当地,15
政府,29
规定,2
依法,2
取得,14
符合,12
地方,13
招商,11
财政,3
研究,3
开发,7
技术,23
更新,4
科委,2
改造,19
嘉定,5
税务,1
专利,2
一般,1
江西,39
制动,31
股份,78
有限,179
公司,431
年度,59
报告,62
全文,40
创新,11
基金,6
补贴,3
资金,18
科技,41
项目,57
收入,9
递延,6
资产,67
引资,1
合计,35
其他,73
说明,37
MW,1
太阳,1
光伏,1
发电,4
成本,10
生产,3
经营,24
根据,5
电价,1
经常,8
因此,1
计入,6
损益,14
营业,11
支出,10
单位,40
当期,6
其中,22
公益,1
捐赠,1
违约,1
赔偿,2
所得,15
费用,19
会计,21
利润,23
调整,9
过程,1
法定,3
适用,16
税率,2
计算,6
不同,1
影响,13
以前,6
期间,6
应税,1
不可,1
抵扣,3
损失,4
本期,26
确认,3
暂时,1
差异,9
扣除,4
现金,47
流量,9
收到,6
活动,16
有关,12
往来,5
款项,14
支付,34
上期,8
发生,18
销售,5
管理,24
财务,31
投资,63
预付,5
购买,3
中科,3
国信,3
股权,27
轨道,4
交通,4
装备,5
上海,47
责任,16
少数,5
股东,27
筹资,5
银行,8
借款,12
担保,12
保证,7
融资,5
服务,1
补充,5
资料,5
减值,6
准备,24
固定,5
折旧,2
油气,1
折耗,1
无形,5
摊销,2
长期,13
处置,6
填列,6
减少,8
增加,22
负债,27
存货,1
应收,36
应付,11
产生,7
净额,6
涉及,3
收支,1
重大,10
期初,4
余额,15
等价,8
合并,18
四川,6
云峰,1
构成,3
库存,1
期末,16
集团,11
内子,1
使用,5
限制,3
所有,8
受到,2
质量,1
保函,1
承兑,1
汇票,1
抵押,4
hich,1
权利,1
受限,1
情况,39
繁昌,2
动产,1
外币,16
货币,9
美元,7
账款,26
欧元,28
流动,9
短期,7
预收,3
应交,4
税费,4
境外,8
实体,5
包括,9
对于,3
重要,19
披露,16
主要,21
记账,4
本位,4
选择,1
依据,10
变化,7
原因,6
名称,24
Prandinsa,7
Water,6
TRVA,2
CARLOS,4
BUIGAS,2
NAVE,2
BLOQUEK,2
CANOVELLES,2
BARCELONA,2
报表,15
折算,13
汇率,7
采用,7
即期,5
权益,15
分配,4
交易,21
中国,12
人民,19
公布,2
基准,2
汇价,2
实收,9
资本,14
注册,7
证书,1
差额,4
处理,2
方法,3
按照,11
上述,6
单独,1
范围,7
变更,6
变动,7
导致,1
清算,1
及其,2
大连,6
石油,4
化工,4
工商,5
注销,2
全资,16
北京,22
办理,3
金额,23
间接,3
丰城,6
工业,14
设立,10
大道,4
石景山,2
八大处,1
房间,1
内蒙古,8
天诚,7
商贸,6
呼和浩特,1
新城,2
自治,1
同一,7
控制,25
能源,5
浩特,1
中山,1
东路,1
粮食,1
办公,4
芜湖,17
金贸,19
流体,27
安徽,1
孙村,1
制造,6
西区,1
南路,2
深圳,31
南山,2
粤海,1
街道,1
华智,2
领航,2
桑达,1
厂房,1
成都,2
双流,1
南航,1
空港,1
经济,4
集中,2
实业,3
贸易,2
J5211,1
持股,9
比例,36
不同于,3
表决,12
持有,12
半数,2
以下,3
以及,3
以上,13
公开,2
发行,6
股票,4
下降,4
董事,10
成员,4
委派,2
过半,2
纳入,1
结构,7
主体,2
确定,5
代理,1
还是,1
委托,1
长兴,2
辽宁,1
何屯,2
小学,1
机电,4
杨浦,2
赤峰,1
同济,1
常州,4
富民,1
RC,6
风力,2
丰源,1
方式,6
性质,1
归属,6
宣告,2
分子,1
股利,3
信息,5
中子,1
数据,4
独立,2
填报,1
份额,6
公允,2
价值,2
对价,1
公积,3
合营,10
安排,4
联营,12
联合,1
青浦,1
江苏,7
环宇,13
园林,14
泰州,2
农业,1
建设,7
前海,1
深港,1
合作,1
武汉,3
东湖,1
高新,2
航空,1
海外,1
人才,1
大楼,1
一致,1
具有,2
或者,1
商誉,4
修订,2
章程,2
完成,8
登记,4
手续,2
交割,2
时点,2
金融,25
工具,5
风险,34
面临,2
各种,3
信用,9
市场,8
外汇,4
利率,11
来自,1
票据,5
出售,3
采取,2
限额,2
规避,2
任何,4
机构,6
信贷,2
截止,11
五大,1
客户,5
总额,5
承受,3
敞口,3
衍生,3
账面,4
部门,3
持续,8
监控,3
需求,3
确保,3
维持,3
充裕,3
储备,4
各项,1
折现,1
合同,9
到期,6
如下,4
净值,1
位于,1
境内,1
业务,5
结算,2
未来,4
计价,2
依然,1
存在,10
敏感,2
分析,4
各类,2
如果,4
升值,1
贬值,1
因素,4
保持,4
不变,2
上升,2
新增,1
债务,3
尚未,6
付清,1
浮动,2
计息,1
利息,1
业绩,6
不利,1
状况,2
及时,1
做出,1
这些,1
可能,4
进行,4
互换,1
降低,1
详见,4
附注,4
注释,4
十一,8
关联,30
最终,2
关系,2
参股,7
振华,17
重工,19
电力,2
控股,6
九州,6
国际,21
中心,6
合伙,16
购销,2
商品,6
提供,4
接受,4
劳务,5
采购,2
货物,3
水电,1
加工,1
二十八,2
会议,3
大会,7
审议,9
通过,10
关于,3
日常,4
预案,3
预计,3
超过,6
港机,4
通用,1
江阴,1
南通,3
机械,4
配套,1
张家港,1
传动,1
重型,1
分别,6
签订,8
货款,2
作为,4
是否,4
已经,2
履行,8
完毕,2
家属,1
璐璐,3
关键,2
人员,5
报酬,2
十二,4
承诺,21
事项,15
完全,2
对外,4
签署,5
共同,2
协议,9
约定,2
出资,5
商业,2
买卖,2
西班牙,4
自然,4
RODRIGUEZ,2
CAMPS,2
先生,2
计划,6
收购,8
名下,1
Productos,2
Auxiliares,2
de,3
Instalaciones,2
Técnicas,1
Industriales,1
Canalizaciones,1
Internacional,1
System,1
帕拉,1
品牌,2
模具,1
其余,1
每年,1
税后,1
用于,3
背书,1
贴现,1
十三,1
日后,4
无法,1
估计,1
内容,9
成果,1
无锡,5
协力,5
生效,1
条件,1
认购,4
全国,1
系统,6
定向,1
普通,2
共计,1
本次,5
临时,2
自有,3
竞价,1
法律,2
法规,1
许可,1
回购,9
用作,1
激励,2
员工,2
低于,1
价格,2
全额,1
数量,1
期限,1
方案,1
证券,13
开立,1
专用,1
账户,1
批准,1
发放,1
十四,1
投入,5
转让,8
简称,3
二十七,1
议案,1
同意,1
每期,1
具体,1
一期,3
监管,1
限于,1
证监,2
异议,1
工作,6
日内,4
二期,2
后于,1
标的,1
目标,4
分红,4
同时,4
回款,3
补偿,2
后续,2
不再,2
中证,3
郑州,1
产业,2
发展,2
引导,1
参与,1
发起,1
承担,2
认缴,3
部份,1
框架,2
订金,2
退回,1
十五,1
分类,1
计提,36
特征,2
坏账,21
单项,4
组合,7
百分比,1
个别,3
认定,2
备注,2
收回,7
转回,7
欠款,2
归集,2
风能,1
电气,1
风电,2
付款,1
备用,3
拆借,1
以内,4
广义,1
牵引,1
湘潭,1
电机,1
行权,3
株洲,1
机车,1
增资,1
核算,2
计量,1
十六,1
明细,1
密切,2
统一,2
标准,2
定额,2
定量,2
比率,1
在建,1
工程,1
借入,2
增值,1
股本,2
综合,1
外孙,1
盈余,1
实现,1
税金,1
附加,1
薪酬,2
售后,1
运输,1
延长,1
红利,2
载有,1
代表,2
主管,3
负责,5
签名,1
盖章,1
备查,7
文件,7
地点,7
地址,6
园区,1
火炬,1
市长,12
精密,25
提示,2
目录,4
释义,5
监事,3
高级,3
真实,2
准确,2
完整,2
虚假,1
记载,1
误导,1
陈述,1
遗漏,1
连带,1
奇星,2
声明,1
预测,4
方面,2
人士,4
对此,2
足够,2
认识,2
并且,2
应该,2
理解,2
之间,2
认真,1
阅读,1
特别,1
注意,1
下列,1
环境,1
更为,1
复杂,1
中美,1
摩擦,1
带来,1
国产,1
积极,2
产品,8
提升,1
营收,1
加大,1
手机,2
力度,1
分散,1
单一,1
属于,1
电子,10
组件,7
下游,1
消费,3
速度,1
必须,1
不断,1
提前,1
需要,1
研发,3
增多,1
前期,1
周期,1
拉长,1
量产,1
压力,1
增大,1
造成,1
一定,1
来看,1
起到,1
青年,1
劳动,1
吸引,1
逐年,1
工资,1
培训,1
人力,2
增长,1
较快,1
趋势,1
时期,1
加快,1
自动,1
升级,1
进一步,1
加强,1
团队,1
完善,1
体系,1
合理,1
区间,1
基数,1
全体,2
派发,1
红股,1
公积金,1
转增,1
简介,2
指标,6
概要,1
讨论,1
优先,1
治理,1
债券,1
新疆,1
原名,1
昆山,5
广东,6
顺通,2
美国,1
EVERWIN,1
USA,1
LLC,1
香港,2
Everwin,3
Precision,2
HongKong,1
Company,2
Limited,2
韩国,2
会社,1
Presicion,1
Korea,1
天机,4
智能,5
机器,6
材料,1
苏州,4
科伦,2
电源,1
导体,1
泰博,1
盈泰,1
三级,1
移动,2
通信,1
终端,4
笔记,1
电脑,1
无线,2
座机,1
路由,1
对讲机,1
GPS,1
射频,1
识别,1
零件,1
通讯,1
家居,1
模组,4
金属,1
外观,1
硅胶,1
塑胶,1
连接,9
附件,1
电磁,1
屏蔽,1
汽车,2
电池,2
盖板,1
正负,2
汇流,1
充电,2
线缆,1
busbar,1
面向,1
领域,1
关节,1
自由,1
装置,1
特点,1
预先,1
设定,1
动作,2
编程,1
输入,1
可以,2
离开,1
辅助,1
运行,1
互联,5
简单,1
重复,1
人机,1
全球,1
传感,1
高度,1
融合,1
中文,2
外文,2
Shenzhen,1
Technology,1
Co,1
LTD,1
缩写,1
EWPT,1
宝安,4
福永,4
桥头,4
邮政,2
编码,2
网址,3
www,1
ewpt,4
cn,4
信箱,2
IR,3
联系,3
电话,1
传真,1
选定,1
媒体,1
时报,1
日报,1
登载,1
指定,1
网站,1
法务,1
聘请,3
事务,2
杭州,1
西溪,1
新湖,1
商务,1
大厦,1
签字,1
姓名,1
督导,2
职责,2
保荐,1
顾问,1
追溯,1
重述,1
上市,4
基本,1
每股,4
稀释,3
加权,3
平均,3
季度,2
总数,1
境内外,1
准则,9
冲销,1
部分,1
